n,date,ndate,instrument,,,
,2019-03-31,2019-03-28,002486.SZA,,,
,2019-03-31,2019-03-30,002506.SZA,,,
,2019-03-31,2019-04-09,300572.SZA,,,
,2019-03-31,2019-04-10,300674.SZA,,,
,2019-03-31,2019-04-09,300139.SZA,,,
,2019-03-31,2019-04-09,603026.SHA,,,
,2019-03-31,2019-04-10,300370.SZA,,,
,2019-03-31,2019-04-12,000762.SZA,,,
,2019-03-31,2019-03-30,002204.SZA,,,
,2019-03-31,2019-04-13,000502.SZA,,,
,2019-03-31,2019-04-13,000010.SZA,,,
,2019-03-31,2019-04-13,000767.SZA,,,
,2019-03-31,2019-04-08,300106.SZA,,,
,2019-03-31,2019-04-22,300163.SZA,,,
,2019-03-31,2019-04-09,300123.SZA,,,
,2019-03-31,2019-03-12,002648.SZA,,,
,2019-03-31,2019-04-16,600655.SHA,,,
,2019-03-31,2019-04-13,000422.SZA,,,
,2019-03-31,2019-04-13,000816.SZA,,,
,2019-03-31,2019-04-10,300330.SZA,,,
,2019-03-31,2019-03-29,002571.SZA,,,
,2019-03-31,2019-04-13,000707.SZA,,,
,2019-03-31,2019-03-29,002791.SZA,,,
,2019-03-31,2019-04-10,000401.SZA,,,
,2019-03-31,2019-03-29,002504.SZA,,,
,2019-03-31,2019-04-13,000548.SZA,,,
,2019-03-31,2019-04-12,000790.SZA,,,
,2019-03-31,2019-04-12,000737.SZA,,,
,2019-03-31,2019-04-13,000962.SZA,,,
,2019-03-31,2019-04-10,600720.SHA,,,
,2019-03-31,2019-04-13,000712.SZA,,,
,2019-03-31,2019-04-09,000987.SZA,,,
,2019-03-31,2019-04-10,300149.SZA,,,
,2019-03-31,2019-04-10,300680.SZA,,,
,2019-03-31,2019-04-13,000672.SZA,,,
,2019-03-31,2019-04-09,300291.SZA,,,
,2019-03-31,2019-04-10,000852.SZA,,,
,2019-03-31,2019-04-13,000868.SZA,,,
,2019-03-31,2019-03-30,002200.SZA,,,
,2019-03-31,2019-04-10,300499.SZA,,,
,2019-03-31,2019-03-28,000063.SZA,,,
,2019-03-31,2019-04-13,000917.SZA,,,
,2019-03-31,2019-04-01,300248.SZA,,,
,2019-03-31,2019-04-15,000821.SZA,,,
,2019-03-31,2019-04-13,000893.SZA,,,
,2019-03-31,2019-03-28,002552.SZA,,,
,2019-03-31,2019-04-09,300688.SZA,,,
,2019-03-31,2019-03-29,002322.SZA,,,
,2019-03-31,2019-03-23,002564.SZA,,,
,2019-03-31,2019-04-10,600096.SHA,,,
,2019-03-31,2019-03-28,000615.SZA,,,
,2019-03-31,2019-04-13,000593.SZA,,,
,2019-03-31,2019-04-09,300332.SZA,,,
,2019-03-31,2019-04-10,000920.SZA,,,
,2019-03-31,2019-04-15,001896.SZA,,,
,2019-03-31,2019-04-02,300014.SZA,,,
,2019-03-31,2019-04-09,300112.SZA,,,
,2019-03-31,2019-03-30,002554.SZA,,,
,2019-03-31,2019-04-29,300061.SZA,,,
,2019-03-31,2019-04-16,000415.SZA,,,
,2019-03-31,2019-03-26,300218.SZA,,,
,2019-03-31,2019-04-08,300402.SZA,,,
,2019-03-31,2019-04-08,300573.SZA,,,
,2019-03-31,2019-04-13,000755.SZA,,,
,2019-03-31,2019-03-27,002252.SZA,,,
,2019-03-31,2019-04-08,000157.SZA,,,
,2019-03-31,2019-04-13,002454.SZA,,,
,2019-03-31,2019-03-30,002476.SZA,,,
,2019-03-31,2019-03-29,002569.SZA,,,
,2019-03-31,2019-04-10,300417.SZA,,,
,2019-03-31,2019-02-28,002796.SZA,,,
,2019-03-31,2019-04-13,000955.SZA,,,
,2019-03-31,2019-04-13,000993.SZA,,,
,2019-03-31,2019-04-15,002409.SZA,,,
,2019-03-31,2019-03-30,002467.SZA,,,
,2019-03-31,2019-03-12,002608.SZA,,,
,2019-03-31,2019-04-09,300238.SZA,,,
,2019-03-31,2019-04-09,300047.SZA,,,
,2019-03-31,2019-03-30,002052.SZA,,,
,2019-03-31,2019-04-09,300589.SZA,,,
,2019-03-31,2019-04-09,300750.SZA,,,
,2019-03-31,2019-04-25,000004.SZA,,,
,2019-03-31,2019-04-13,000506.SZA,,,
,2019-03-31,2019-03-14,000999.SZA,,,
,2019-03-31,2019-04-10,300484.SZA,,,
,2019-03-31,2019-04-15,000710.SZA,,,
,2019-03-31,2019-04-08,300540.SZA,,,
,2019-03-31,2019-03-26,000807.SZA,,,
,2019-03-31,2019-04-09,300739.SZA,,,
,2019-03-31,2019-03-26,000829.SZA,,,
,2019-03-31,2019-04-09,300696.SZA,,,
,2019-03-31,2019-03-30,002266.SZA,,,
,2019-03-31,2019-04-12,002669.SZA,,,
,2019-03-31,2019-02-26,300487.SZA,,,
,2019-03-31,2019-03-30,002892.SZA,,,
,2019-03-31,2019-03-26,002909.SZA,,,
,2019-03-31,2019-03-27,002846.SZA,,,
,2019-03-31,2019-03-20,000036.SZA,,,
,2019-03-31,2019-03-21,002937.SZA,,,
,2019-03-31,2019-03-30,300140.SZA,,,
,2019-03-31,2019-03-27,002194.SZA,,,
,2019-03-31,2019-04-09,300254.SZA,,,
,2019-03-31,2019-04-15,002500.SZA,,,
,2019-03-31,2019-03-30,002189.SZA,,,
,2019-03-31,2019-03-29,002478.SZA,,,
,2019-03-31,2019-03-29,002733.SZA,,,
,2019-03-31,2019-03-23,002028.SZA,,,
,2019-03-31,2019-04-13,000777.SZA,,,
,2019-03-31,2019-04-10,300155.SZA,,,
,2019-03-31,2019-04-10,300011.SZA,,,
,2019-03-31,2019-03-26,002278.SZA,,,
,2019-03-31,2019-04-01,300164.SZA,,,
,2019-03-31,2019-04-13,002381.SZA,,,
,2019-03-31,2019-04-15,002591.SZA,,,
,2019-03-31,2019-04-11,000524.SZA,,,
,2019-03-31,2019-04-10,300543.SZA,,,
,2019-03-31,2019-04-13,000985.SZA,,,
,2019-03-31,2019-03-29,002683.SZA,,,
,2019-03-31,2019-03-08,300657.SZA,,,
,2019-03-31,2019-04-13,000626.SZA,,,
,2019-03-31,2019-04-10,000159.SZA,,,
,2019-03-31,2019-04-13,000514.SZA,,,
,2019-03-31,2019-04-12,000923.SZA,,,
,2019-03-31,2019-03-30,002046.SZA,,,
,2019-03-31,2019-04-10,300352.SZA,,,
,2019-03-31,2019-02-28,300586.SZA,,,
,2019-03-31,2019-03-26,002605.SZA,,,
,2019-03-31,2019-02-28,300420.SZA,,,
,2019-03-31,2019-04-13,000007.SZA,,,
,2019-03-31,2019-04-10,300048.SZA,,,
,2019-03-31,2019-03-30,002235.SZA,,,
,2019-03-31,2019-03-29,300045.SZA,,,
,2019-03-31,2019-04-09,300405.SZA,,,
,2019-03-31,2019-04-09,300004.SZA,,,
,2019-03-31,2019-03-30,002353.SZA,,,
,2019-03-31,2019-04-12,000690.SZA,,,
,2019-03-31,2019-04-13,600269.SHA,,,
,2019-03-31,2019-04-15,002723.SZA,,,
,2019-03-31,2019-03-20,000530.SZA,,,
,2019-03-31,2019-03-20,200530.SZA,,,
,2019-03-31,2019-03-30,002665.SZA,,,
,2019-03-31,2019-03-22,300458.SZA,,,
,2019-03-31,2019-04-13,000906.SZA,,,
,2019-03-31,2019-04-12,000899.SZA,,,
,2019-03-31,2019-03-29,002657.SZA,,,
,2019-03-31,2019-03-28,002698.SZA,,,
,2019-03-31,2019-04-09,300399.SZA,,,
,2019-03-31,2019-04-10,200512.SZA,,,
,2019-03-31,2019-04-09,300517.SZA,,,
,2019-03-31,2019-04-09,300581.SZA,,,
,2019-03-31,2019-03-26,002414.SZA,,,
,2019-03-31,2019-04-13,000668.SZA,,,
,2019-03-31,2019-04-09,300397.SZA,,,
,2019-03-31,2019-03-27,002803.SZA,,,
,2019-03-31,2019-04-10,300735.SZA,,,
,2019-03-31,2019-04-09,300118.SZA,,,
,2019-03-31,2019-04-08,300168.SZA,,,
,2019-03-31,2019-03-30,002607.SZA,,,
,2019-03-31,2019-04-10,300465.SZA,,,
,2019-03-31,2019-04-10,300012.SZA,,,
,2019-03-31,2019-04-12,600496.SHA,,,
,2019-03-31,2019-04-01,300221.SZA,,,
,2019-03-31,2019-04-09,300478.SZA,,,
,2019-03-31,2019-03-30,002261.SZA,,,
,2019-03-31,2019-03-27,002949.SZA,,,
,2019-03-31,2019-04-13,000677.SZA,,,
,2019-03-31,2019-03-30,002161.SZA,,,
,2019-03-31,2019-03-30,002443.SZA,,,
,2019-03-31,2019-03-16,300590.SZA,,,
,2019-03-31,2019-04-02,603333.SHA,,,
,2019-03-31,2019-04-13,600731.SHA,,,
,2019-03-31,2019-04-12,000966.SZA,,,
,2019-03-31,2019-04-12,600064.SHA,,,
,2019-03-31,2019-04-13,000686.SZA,,,
,2019-03-31,2019-04-13,002333.SZA,,,
,2019-03-31,2019-03-30,300229.SZA,,,
,2019-03-31,2019-04-09,002099.SZA,,,
,2019-03-31,2019-03-30,002420.SZA,,,
,2019-03-31,2019-03-30,002132.SZA,,,
,2019-03-31,2019-04-13,000919.SZA,,,
,2019-03-31,2019-04-09,300464.SZA,,,
,2019-03-31,2019-04-09,300546.SZA,,,
,2019-03-31,2019-03-30,002451.SZA,,,
,2019-03-31,2019-03-27,002746.SZA,,,
,2019-03-31,2019-04-09,300379.SZA,,,
,2019-03-31,2019-04-13,000023.SZA,,,
,2019-03-31,2019-04-09,300518.SZA,,,
,2019-03-31,2019-04-13,000850.SZA,,,
,2019-03-31,2019-04-13,002379.SZA,,,
,2019-03-31,2019-02-01,002240.SZA,,,
,2019-03-31,2019-04-09,300703.SZA,,,
,2019-03-31,2019-04-09,300710.SZA,,,
,2019-03-31,2019-03-27,002299.SZA,,,
,2019-03-31,2019-04-10,300301.SZA,,,
,2019-03-31,2019-03-08,300638.SZA,,,
,2019-03-31,2019-04-08,000969.SZA,,,
,2019-03-31,2019-04-15,002560.SZA,,,
,2019-03-31,2019-03-30,002725.SZA,,,
,2019-03-31,2019-04-13,000027.SZA,,,
,2019-03-31,2019-03-26,002214.SZA,,,
,2019-03-31,2019-04-12,600456.SHA,,,
,2019-03-31,2019-04-24,600984.SHA,,,
,2019-03-31,2019-04-11,000700.SZA,,,
,2019-03-31,2019-03-28,300578.SZA,,,
,2019-03-31,2019-04-13,000929.SZA,,,
,2019-03-31,2019-04-09,300205.SZA,,,
,2019-03-31,2019-04-08,300702.SZA,,,
,2019-03-31,2019-04-12,600871.SHA,,,
,2019-03-31,2019-04-12,002315.SZA,,,
,2019-03-31,2019-04-10,300466.SZA,,,
,2019-03-31,2019-03-30,002346.SZA,,,
,2019-03-31,2019-03-29,002165.SZA,,,
,2019-03-31,2019-04-13,002226.SZA,,,
,2019-03-31,2019-03-21,300130.SZA,,,
,2019-03-31,2019-04-10,300483.SZA,,,
,2019-03-31,2019-04-10,300603.SZA,,,
,2019-03-31,2019-04-15,000863.SZA,,,
,2019-03-31,2019-04-05,600570.SHA,,,
,2019-03-31,2019-03-28,002594.SZA,,,
,2019-03-31,2019-04-15,002641.SZA,,,
,2019-03-31,2019-04-13,000589.SZA,,,
,2019-03-31,2019-04-09,300152.SZA,,,
,2019-03-31,2019-03-28,300092.SZA,,,
,2019-03-31,2019-04-10,300175.SZA,,,
,2019-03-31,2019-03-28,002489.SZA,,,
,2019-03-31,2019-04-09,300508.SZA,,,
,2019-03-31,2019-04-13,000628.SZA,,,
,2019-03-31,2019-04-09,002575.SZA,,,
,2019-03-31,2019-01-31,300250.SZA,,,
,2019-03-31,2019-04-13,000573.SZA,,,
,2019-03-31,2019-03-19,002812.SZA,,,
,2019-03-31,2019-04-23,600129.SHA,,,
,2019-03-31,2019-04-02,000811.SZA,,,
,2019-03-31,2019-04-12,000048.SZA,,,
,2019-03-31,2019-03-29,002177.SZA,,,
,2019-03-31,2019-03-22,002272.SZA,,,
,2019-03-31,2019-04-10,300461.SZA,,,
,2019-03-31,2019-03-22,300345.SZA,,,
,2019-03-31,2019-03-30,002423.SZA,,,
,2019-03-31,2019-04-15,000925.SZA,,,
,2019-03-31,2019-04-10,300280.SZA,,,
,2019-03-31,2019-04-11,000531.SZA,,,
,2019-03-31,2019-04-15,600410.SHA,,,
,2019-03-31,2019-04-04,300502.SZA,,,
,2019-03-31,2019-04-26,002759.SZA,,,
,2019-03-31,2019-04-15,000877.SZA,,,
,2019-03-31,2019-03-29,002760.SZA,,,
,2019-03-31,2019-03-30,300019.SZA,,,
,2019-03-31,2019-03-30,002399.SZA,,,
,2019-03-31,2019-04-23,600538.SHA,,,
,2019-03-31,2019-04-08,300686.SZA,,,
,2019-03-31,2019-04-13,000061.SZA,,,
,2019-03-31,2019-04-12,000576.SZA,,,
,2019-03-31,2019-04-15,000517.SZA,,,
,2019-03-31,2019-04-11,200029.SZA,,,
,2019-03-31,2019-04-11,000029.SZA,,,
,2019-03-31,2019-04-13,000823.SZA,,,
,2019-03-31,2019-04-12,200539.SZA,,,
,2019-03-31,2019-04-12,000539.SZA,,,
,2019-03-31,2019-04-09,300353.SZA,,,
,2019-03-31,2019-04-10,300520.SZA,,,
,2019-03-31,2019-04-02,300162.SZA,,,
,2019-03-31,2019-04-09,300513.SZA,,,
,2019-03-31,2019-03-28,002274.SZA,,,
,2019-03-31,2019-04-09,300321.SZA,,,
,2019-03-31,2019-04-10,300609.SZA,,,
,2019-03-31,2019-04-13,603160.SHA,,,
,2019-03-31,2019-04-16,600793.SHA,,,
,2019-03-31,2019-04-13,002234.SZA,,,
,2019-03-31,2019-04-02,000936.SZA,,,
,2019-03-31,2019-04-10,300234.SZA,,,
,2019-03-31,2019-02-20,002458.SZA,,,
,2019-03-31,2019-03-30,002738.SZA,,,
,2019-03-31,2019-04-10,200992.SZA,,,
,2019-03-31,2019-04-13,000736.SZA,,,
,2019-03-31,2019-04-10,300475.SZA,,,
,2019-06-30,2019-07-15,300439.SZA,,,
,2019-06-30,2019-07-13,300457.SZA,,,
,2019-06-30,2019-07-13,300741.SZA,,,
,2019-06-30,2019-07-12,300668.SZA,,,
,2019-06-30,2019-07-12,300065.SZA,,,
,2019-06-30,2019-04-26,002236.SZA,,,
,2019-06-30,2019-07-11,300036.SZA,,,
,2019-06-30,2019-07-12,300756.SZA,,,
,2019-06-30,2019-07-13,002912.SZA,,,
,2019-06-30,2019-07-09,300238.SZA,,,
,2019-06-30,2019-07-13,300154.SZA,,,
,2019-06-30,2019-07-12,300580.SZA,,,
,2019-06-30,2019-07-12,300412.SZA,,,
,2019-06-30,2019-07-12,300011.SZA,,,
,2019-06-30,2019-07-12,300519.SZA,,,
,2019-06-30,2019-07-10,300488.SZA,,,
,2019-06-30,2019-07-12,300434.SZA,,,
,2019-06-30,2019-07-03,300435.SZA,,,
,2019-06-30,2019-07-01,300348.SZA,,,
,2019-06-30,2019-07-13,002749.SZA,,,
,2019-06-30,2019-07-13,300024.SZA,,,
,2019-06-30,2019-06-18,002643.SZA,,,
,2019-06-30,2019-07-13,002737.SZA,,,
,2019-06-30,2019-04-25,300772.SZA,,,
,2019-06-30,2019-07-12,300467.SZA,,,
,2019-06-30,2019-04-30,002917.SZA,,,
,2019-06-30,2019-07-13,300026.SZA,,,
,2019-06-30,2019-07-13,300360.SZA,,,
,2019-06-30,2019-07-12,300424.SZA,,,
,2019-06-30,2019-07-13,300255.SZA,,,
,2019-06-30,2019-07-15,002079.SZA,,,
,2019-06-30,2019-07-13,002097.SZA,,,
,2019-06-30,2019-07-13,002740.SZA,,,
,2019-06-30,2019-07-11,300516.SZA,,,
,2019-06-30,2019-07-09,300660.SZA,,,
,2019-06-30,2019-04-30,002857.SZA,,,
,2019-06-30,2019-07-12,300429.SZA,,,
,2019-06-30,2019-07-12,300619.SZA,,,
,2019-06-30,2019-07-12,300207.SZA,,,
,2019-06-30,2019-07-15,300416.SZA,,,
,2019-06-30,2019-07-10,300642.SZA,,,
,2019-06-30,2019-07-12,300453.SZA,,,
,2019-06-30,2019-07-13,300044.SZA,,,
,2019-06-30,2019-07-12,300746.SZA,,,
,2019-06-30,2019-07-15,002687.SZA,,,
,2019-06-30,2019-04-23,002389.SZA,,,
,2019-06-30,2019-07-13,300054.SZA,,,
,2019-06-30,2019-07-15,300172.SZA,,,
,2019-06-30,2019-07-12,300293.SZA,,,
,2019-06-30,2019-07-15,002775.SZA,,,
,2019-06-30,2019-07-10,300185.SZA,,,
,2019-06-30,2019-07-15,300227.SZA,,,
,2019-06-30,2019-07-13,002342.SZA,,,
,2019-06-30,2019-07-11,300490.SZA,,,
,2019-06-30,2019-07-12,300705.SZA,,,
,2019-06-30,2019-07-12,300654.SZA,,,
,2019-06-30,2019-07-08,300553.SZA,,,
,2019-06-30,2019-07-12,300504.SZA,,,
,2019-06-30,2019-07-12,300447.SZA,,,
,2019-06-30,2019-07-12,002335.SZA,,,
,2019-06-30,2019-07-12,300342.SZA,,,
,2019-06-30,2019-07-12,300341.SZA,,,
,2019-06-30,2019-07-09,002840.SZA,,,
,2019-06-30,2019-07-12,300309.SZA,,,
,2019-06-30,2019-05-23,002593.SZA,,,
,2019-06-30,2019-07-13,300038.SZA,,,
,2019-06-30,2019-07-12,300635.SZA,,,
,2019-06-30,2019-07-12,300623.SZA,,,
,2019-06-30,2019-07-15,300637.SZA,,,
,2019-06-30,2019-07-11,300381.SZA,,,
,2019-06-30,2019-07-11,300500.SZA,,,
,2019-06-30,2019-07-12,300468.SZA,,,
,2019-06-30,2019-07-12,300513.SZA,,,
,2019-06-30,2019-07-12,300458.SZA,,,
,2019-06-30,2019-07-12,300455.SZA,,,
,2019-06-30,2019-06-17,300788.SZA,,,
,2019-06-30,2019-06-17,834291.SHA,,,
,2019-06-30,2019-07-13,002015.SZA,,,
,2019-06-30,2019-07-13,000968.SZA,,,
,2019-06-30,2019-07-12,300712.SZA,,,
,2019-06-30,2019-07-12,300538.SZA,,,
,2019-06-30,2019-06-05,603867.SHA,,,
,2019-06-30,2019-07-09,300677.SZA,,,
,2019-06-30,2019-07-09,300239.SZA,,,
,2019-06-30,2019-07-08,300627.SZA,,,
,2019-06-30,2019-07-13,002922.SZA,,,
,2019-06-30,2019-06-05,300781.SZA,,,
,2019-06-30,2019-07-13,300621.SZA,,,
,2019-06-30,2019-07-15,000885.SZA,,,
,2019-06-30,2019-07-24,600655.SHA,,,
,2019-06-30,2019-07-12,300634.SZA,,,
,2019-06-30,2019-07-12,300332.SZA,,,
,2019-06-30,2019-07-13,000973.SZA,,,
,2019-06-30,2019-07-10,300561.SZA,,,
,2019-06-30,2019-07-12,300717.SZA,,,
,2019-06-30,2019-07-05,300779.SZA,,,
,2019-06-30,2019-07-12,002520.SZA,,,
,2019-06-30,2019-07-10,300579.SZA,,,
,2019-06-30,2019-07-10,300211.SZA,,,
,2019-06-30,2019-07-13,300536.SZA,,,
,2019-06-30,2019-07-02,300082.SZA,,,
,2019-06-30,2019-07-02,688122.SHA,,,
,2019-06-30,2019-07-04,837524.SHA,,,
,2019-06-30,2019-07-15,300474.SZA,,,
,2019-06-30,2019-07-11,836084.SHA,,,
,2019-06-30,2019-07-11,688218.SHA,,,
,2019-06-30,2019-07-11,300527.SZA,,,
,2019-06-30,2019-04-15,603697.SHA,,,
,2019-06-30,2019-06-03,300594.SZA,,,
,2019-06-30,2019-06-17,603687.SHA,,,
,2019-06-30,2019-07-12,300667.SZA,,,
,2019-06-30,2019-08-10,601088.SHA,,,
,2019-06-30,2019-07-10,300286.SZA,,,
,2019-06-30,2019-04-25,002241.SZA,,,
,2019-06-30,2019-07-08,300214.SZA,,,
,2019-06-30,2019-07-12,300688.SZA,,,
,2019-06-30,2019-07-13,300320.SZA,,,
,2019-06-30,2019-07-10,300610.SZA,,,
,2019-06-30,2019-07-12,300377.SZA,,,
,2019-06-30,2019-07-04,300748.SZA,,,
,2019-06-30,2019-07-01,300758.SZA,,,
,2019-06-30,2019-06-18,300591.SZA,,,
,2019-06-30,2019-07-02,300605.SZA,,,
,2019-06-30,2019-07-13,300387.SZA,,,
,2019-06-30,2019-07-13,300506.SZA,,,
,2019-06-30,2019-07-11,300388.SZA,,,
,2019-06-30,2019-07-12,300382.SZA,,,
,2019-06-30,2019-07-12,300415.SZA,,,
,2019-06-30,2019-07-12,300271.SZA,,,
,2019-06-30,2019-07-12,300414.SZA,,,
,2019-06-30,2019-07-12,300339.SZA,,,
,2019-06-30,2019-07-12,300701.SZA,,,
,2019-06-30,2019-07-12,300403.SZA,,,
,2019-06-30,2019-07-10,300037.SZA,,,
,2019-06-30,2019-04-24,002395.SZA,,,
,2019-06-30,2019-07-12,300563.SZA,,,
,2019-06-30,2019-07-13,300078.SZA,,,
,2019-06-30,2019-04-29,002292.SZA,,,
,2019-06-30,2019-07-15,002751.SZA,,,
,2019-06-30,2019-07-13,002521.SZA,,,
,2019-06-30,2019-07-31,003816.SZA,,,
,2019-06-30,2019-06-05,600968.SHA,,,
,2019-06-30,2019-07-09,836800.SHA,,,
,2019-06-30,2019-07-06,000035.SZA,,,
,2019-06-30,2019-07-12,300170.SZA,,,
,2019-06-30,2019-07-12,300749.SZA,,,
,2019-06-30,2019-07-08,300327.SZA,,,
,2019-06-30,2019-06-26,688009.SHA,,,
,2019-06-30,2019-07-04,688033.SHA,,,
,2019-06-30,2019-06-17,002966.SZA,,,
,2019-06-30,2019-07-08,603279.SHA,,,
,2019-06-30,2019-07-08,832899.SHA,,,
,2019-06-30,2019-04-24,002362.SZA,,,
,2019-06-30,2019-05-20,300775.SZA,,,
,2019-06-30,2019-07-10,300275.SZA,,,
,2019-06-30,2019-05-13,603863.SHA,,,
,2019-06-30,2019-07-23,603115.SHA,,,
,2019-06-30,2019-07-02,300631.SZA,,,
,2019-06-30,2019-07-04,688020.SHA,,,
,2019-06-30,2019-07-09,300786.SZA,,,
,2019-06-30,2019-07-15,300685.SZA,,,
,2019-06-30,2019-07-12,300589.SZA,,,
,2019-06-30,2019-07-12,300696.SZA,,,
,2019-06-30,2019-07-13,601992.SHA,,,
,2019-06-30,2019-06-26,002831.SZA,,,
,2019-06-30,2019-07-11,300368.SZA,,,
,2019-06-30,2019-07-11,300568.SZA,,,
,2019-06-30,2019-04-24,002243.SZA,,,
,2019-06-30,2019-07-11,300651.SZA,,,
,2019-06-30,2019-07-13,300057.SZA,,,
,2019-06-30,2019-07-15,300213.SZA,,,
,2019-06-30,2019-04-25,002514.SZA,,,
,2019-06-30,2019-07-13,300380.SZA,,,
,2019-06-30,2019-07-13,300395.SZA,,,
,2019-06-30,2019-04-27,300476.SZA,,,
,2019-06-30,2019-07-12,300031.SZA,,,
,2019-06-30,2019-06-28,300146.SZA,,,
,2019-06-30,2019-07-12,300047.SZA,,,
,2019-06-30,2019-07-13,300450.SZA,,,
,2019-06-30,2019-07-12,300215.SZA,,,
,2019-06-30,2019-07-12,300624.SZA,,,
,2019-06-30,2019-07-12,300428.SZA,,,
,2019-06-30,2019-07-13,300378.SZA,,,
,2019-06-30,2019-07-12,300041.SZA,,,
,2019-06-30,2019-07-12,300607.SZA,,,
,2019-06-30,2019-07-11,300284.SZA,,,
,2019-06-30,2019-07-09,300042.SZA,,,
,2019-06-30,2019-07-13,300265.SZA,,,
,2019-06-30,2019-07-12,300692.SZA,,,
,2019-06-30,2019-07-09,300650.SZA,,,
,2019-06-30,2019-07-12,300352.SZA,,,
,2019-06-30,2019-07-12,300144.SZA,,,
,2019-06-30,2019-07-15,300294.SZA,,,
,2019-06-30,2019-07-13,300067.SZA,,,
,2019-06-30,2019-07-13,300075.SZA,,,
,2019-06-30,2019-07-13,300021.SZA,,,
,2019-06-30,2019-07-13,300480.SZA,,,
,2019-06-30,2019-07-10,300683.SZA,,,
,2019-06-30,2019-05-31,002776.SZA,,,
,2019-06-30,2019-07-13,300151.SZA,,,
,2019-06-30,2019-07-12,300599.SZA,,,
,2019-06-30,2019-07-12,300582.SZA,,,
,2019-06-30,2019-07-15,300018.SZA,,,
,2019-06-30,2019-07-12,300587.SZA,,,
,2019-06-30,2019-07-13,300009.SZA,,,
,2019-06-30,2019-07-15,300664.SZA,,,
,2019-06-30,2019-07-13,002295.SZA,,,
,2019-06-30,2019-07-13,300571.SZA,,,
,2019-06-30,2019-07-11,300575.SZA,,,
,2019-06-30,2019-07-30,831557.SHA,,,
,2019-06-30,2019-07-01,300785.SZA,,,
,2019-06-30,2019-07-13,300142.SZA,,,
,2019-06-30,2019-07-22,688108.SHA,,,
,2019-06-30,2019-06-27,601698.SHA,,,
,2019-06-30,2019-07-15,002180.SZA,,,
,2019-06-30,2019-07-12,300765.SZA,,,
,2019-06-30,2019-04-26,002555.SZA,,,
,2019-06-30,2019-04-16,002240.SZA,,,
,2019-06-30,2019-07-10,300545.SZA,,,
,2019-06-30,2019-07-09,002346.SZA,,,
,2019-06-30,2019-07-13,300203.SZA,,,
,2019-06-30,2019-06-26,300670.SZA,,,
,2019-06-30,2019-06-26,603236.SHA,,,
,2019-06-30,2019-06-20,000902.SZA,,,
,2019-06-30,2019-07-12,300445.SZA,,,